ID,monthly_income,immovables,has_tesla,employment_situation,credit_score
242904,<500,>2,yes,employee,650
244265,<500,>2,yes,employee,650
247775,<500,>2,yes,employee,650
227663,<500,>2,yes,employee,650
223428,<1000,>2,no,employee,650
244182,<1000,0,yes,employee,650
231411,<1000,>2,no,employee,650
227722,<1000,0,yes,employee,650
221272,<1000,0,yes,employee,650
246748,<1000,0,yes,employee,650
232239,<1000,0,yes,employee,650
208978,<1000,>2,no,employee,650
214393,<1000,>2,no,employee,650
225441,>1000,1-2,no,employee,650
257,<500,1-2,yes,employee,600
5625,<500,1-2,yes,employee,600
16415,<500,1-2,yes,employee,600
32,>1000,>2,no,self-employed,600
216070,<500,>2,no,employee,600
337,>1000,0,yes,self-employed,600
339,>1000,>2,no,self-employed,600
374,>1000,>2,no,self-employed,600
406,>1000,0,yes,self-employed,600
235895,<500,0,yes,employee,600
216790,<500,>2,no,employee,600
250163,<500,>2,no,employee,600
650,>1000,>2,no,self-employed,600
667,>1000,>2,no,self-employed,600
732,>1000,>2,no,self-employed,600
753,>1000,>2,no,self-employed,600
768,>1000,0,yes,self-employed,600
851,>1000,0,yes,self-employed,600
877,>1000,>2,no,self-employed,600
941,>1000,>2,no,self-employed,600
1056,>1000,0,yes,self-employed,600
1083,>1000,>2,no,self-employed,600
1122,>1000,0,yes,self-employed,600
1265,>1000,0,yes,self-employed,600
1461,>1000,>2,no,self-employed,600
1493,>1000,>2,no,self-employed,600
1846,>1000,0,yes,self-employed,600
1888,>1000,>2,no,self-employed,600
1923,>1000,>2,no,self-employed,600
1964,>1000,>2,no,self-employed,600
1965,>1000,>2,no,self-employed,600
1969,>1000,>2,no,self-employed,600
2027,>1000,0,yes,self-employed,600
2069,>1000,>2,no,self-employed,600
2164,>1000,>2,no,self-employed,600
2192,>1000,>2,no,self-employed,600
2198,>1000,>2,no,self-employed,600
2417,>1000,>2,no,self-employed,600
2871,>1000,>2,no,self-employed,600
2905,>1000,>2,no,self-employed,600
2928,>1000,0,yes,self-employed,600
2968,>1000,0,yes,self-employed,600
3021,>1000,>2,no,self-employed,600
3106,>1000,>2,no,self-employed,600
3163,>1000,>2,no,self-employed,600
3219,>1000,>2,no,self-employed,600
3284,>1000,>2,no,self-employed,600
3314,>1000,>2,no,self-employed,600
3453,>1000,>2,no,self-employed,600
3464,>1000,>2,no,self-employed,600
3506,>1000,>2,no,self-employed,600
3514,>1000,0,yes,self-employed,600
3700,>1000,0,yes,self-employed,600
3801,>1000,>2,no,self-employed,600
3823,>1000,>2,no,self-employed,600
3854,>1000,>2,no,self-employed,600
3933,>1000,0,yes,self-employed,600
241818,<500,0,yes,employee,600
4137,>1000,>2,no,self-employed,600
4392,>1000,>2,no,self-employed,600
4447,>1000,>2,no,self-employed,600
4746,>1000,>2,no,self-employed,600
4845,>1000,>2,no,self-employed,600
4909,>1000,>2,no,self-employed,600
5111,>1000,>2,no,self-employed,600
5399,>1000,>2,no,self-employed,600
5713,>1000,>2,no,self-employed,600
5746,>1000,>2,no,self-employed,600
5778,>1000,0,yes,self-employed,600
6011,>1000,>2,no,self-employed,600
6024,>1000,>2,no,self-employed,600
6084,>1000,>2,no,self-employed,600
6196,>1000,0,yes,self-employed,600
6220,>1000,>2,no,self-employed,600
6283,>1000,>2,no,self-employed,600
6402,>1000,0,yes,self-employed,600
6433,>1000,>2,no,self-employed,600
225849,<500,0,yes,employee,600
247466,<500,0,yes,employee,600
6474,>1000,0,yes,self-employed,600
6627,>1000,0,yes,self-employed,600
6830,>1000,>2,no,self-employed,600
6864,>1000,>2,no,self-employed,600
6970,>1000,0,yes,self-employed,600
7248,>1000,>2,no,self-employed,600
7283,>1000,>2,no,self-employed,600
7323,>1000,>2,no,self-employed,600
7324,>1000,>2,no,self-employed,600
7328,>1000,>2,no,self-employed,600
7384,>1000,0,yes,self-employed,600
7427,>1000,>2,no,self-employed,600
7524,>1000,>2,no,self-employed,600
7551,>1000,>2,no,self-employed,600
7560,>1000,>2,no,self-employed,600
8219,>1000,>2,no,self-employed,600
8255,>1000,>2,no,self-employed,600
8283,>1000,0,yes,self-employed,600
8326,>1000,0,yes,self-employed,600
8460,>1000,>2,no,self-employed,600
8514,>1000,>2,no,self-employed,600
8547,>1000,>2,no,self-employed,600
8568,>1000,>2,no,self-employed,600
8633,>1000,>2,no,self-employed,600
8664,>1000,>2,no,self-employed,600
8813,>1000,>2,no,self-employed,600
8826,>1000,>2,no,self-employed,600
8872,>1000,>2,no,self-employed,600
8880,>1000,0,yes,self-employed,600
9074,>1000,0,yes,self-employed,600
9199,>1000,>2,no,self-employed,600
9231,>1000,>2,no,self-employed,600
231661,<500,0,yes,employee,600
9309,>1000,0,yes,self-employed,600
9536,>1000,>2,no,self-employed,600
9794,>1000,>2,no,self-employed,600
9843,>1000,>2,no,self-employed,600
9901,>1000,0,yes,self-employed,600
10225,>1000,>2,no,self-employed,600
10288,>1000,>2,no,self-employed,600
10484,>1000,>2,no,self-employed,600
10597,>1000,0,yes,self-employed,600
10698,>1000,>2,no,self-employed,600
226002,<500,0,yes,employee,600
10778,>1000,>2,no,self-employed,600
239079,<500,0,yes,employee,600
11089,>1000,0,yes,self-employed,600
11091,>1000,>2,no,self-employed,600
11461,>1000,>2,no,self-employed,600
11478,>1000,>2,no,self-employed,600
11491,>1000,0,yes,self-employed,600
11574,>1000,0,yes,self-employed,600
222589,<500,0,yes,employee,600
11597,>1000,>2,no,self-employed,600
11661,>1000,>2,no,self-employed,600
11772,>1000,0,yes,self-employed,600
11802,>1000,>2,no,self-employed,600
11980,>1000,0,yes,self-employed,600
12170,>1000,>2,no,self-employed,600
12201,>1000,>2,no,self-employed,600
12315,>1000,0,yes,self-employed,600
247563,<500,0,yes,employee,600
12563,>1000,0,yes,self-employed,600
12602,>1000,>2,no,self-employed,600
12639,>1000,>2,no,self-employed,600
216729,<500,0,yes,employee,600
12682,>1000,>2,no,self-employed,600
12683,>1000,>2,no,self-employed,600
12687,>1000,>2,no,self-employed,600
12742,>1000,0,yes,self-employed,600
12876,>1000,>2,no,self-employed,600
12907,>1000,>2,no,self-employed,600
13143,>1000,>2,no,self-employed,600
13609,>1000,>2,no,self-employed,600
13642,>1000,>2,no,self-employed,600
13670,>1000,0,yes,self-employed,600
13764,>1000,>2,no,self-employed,600
13850,>1000,>2,no,self-employed,600
13909,>1000,>2,no,self-employed,600
13945,>1000,>2,no,self-employed,600
13964,>1000,>2,no,self-employed,600
14028,>1000,>2,no,self-employed,600
14059,>1000,>2,no,self-employed,600
229181,<500,0,yes,employee,600
14200,>1000,>2,no,self-employed,600
14212,>1000,>2,no,self-employed,600
14263,>1000,>2,no,self-employed,600
14271,>1000,0,yes,self-employed,600
14462,>1000,0,yes,self-employed,600
14568,>1000,>2,no,self-employed,600
14589,>1000,>2,no,self-employed,600
14704,>1000,0,yes,self-employed,600
234370,<500,1-2,yes,employee,600
14933,>1000,>2,no,self-employed,600
15193,>1000,>2,no,self-employed,600
15246,>1000,>2,no,self-employed,600
15311,>1000,0,yes,self-employed,600
15546,>1000,>2,no,self-employed,600
15641,>1000,>2,no,self-employed,600
15706,>1000,>2,no,self-employed,600
15906,>1000,>2,no,self-employed,600
16015,>1000,0,yes,self-employed,600
16120,>1000,>2,no,self-employed,600
16197,>1000,>2,no,self-employed,600
16501,>1000,0,yes,self-employed,600
16503,>1000,>2,no,self-employed,600
16567,>1000,0,yes,self-employed,600
16805,>1000,>2,no,self-employed,600
16823,>1000,>2,no,self-employed,600
16881,>1000,>2,no,self-employed,600
16910,>1000,0,yes,self-employed,600
16987,>1000,0,yes,self-employed,600
17014,>1000,>2,no,self-employed,600
17079,>1000,>2,no,self-employed,600
17187,>1000,0,yes,self-employed,600
17217,>1000,>2,no,self-employed,600
17257,>1000,0,yes,self-employed,600
17403,>1000,0,yes,self-employed,600
17603,>1000,>2,no,self-employed,600
17635,>1000,>2,no,self-employed,600
17754,>1000,0,yes,self-employed,600
17983,>1000,0,yes,self-employed,600
18019,>1000,>2,no,self-employed,600
18087,>1000,>2,no,self-employed,600
18091,>1000,>2,no,self-employed,600
18148,>1000,0,yes,self-employed,600
18191,>1000,>2,no,self-employed,600
18288,>1000,>2,no,self-employed,600
18319,>1000,>2,no,self-employed,600
18328,>1000,>2,no,self-employed,600
18548,>1000,>2,no,self-employed,600
18992,>1000,>2,no,self-employed,600
19029,>1000,>2,no,self-employed,600
19058,>1000,0,yes,self-employed,600
19100,>1000,0,yes,self-employed,600
19149,>1000,>2,no,self-employed,600
19230,>1000,>2,no,self-employed,600
19288,>1000,>2,no,self-employed,600
19321,>1000,>2,no,self-employed,600
19345,>1000,>2,no,self-employed,600
19411,>1000,>2,no,self-employed,600
19444,>1000,>2,no,self-employed,600
19591,>1000,>2,no,self-employed,600
19603,>1000,>2,no,self-employed,600
19650,>1000,>2,no,self-employed,600
19658,>1000,0,yes,self-employed,600
19848,>1000,0,yes,self-employed,600
19954,>1000,>2,no,self-employed,600
19973,>1000,>2,no,self-employed,600
20002,>1000,>2,no,self-employed,600
20302,>1000,>2,no,self-employed,600
20551,>1000,>2,no,self-employed,600
20667,>1000,0,yes,self-employed,600
20907,>1000,>2,no,self-employed,600
20992,>1000,>2,no,self-employed,600
21055,>1000,>2,no,self-employed,600
21257,>1000,>2,no,self-employed,600
21374,>1000,0,yes,self-employed,600
21552,>1000,>2,no,self-employed,600
21863,>1000,0,yes,self-employed,600
21865,>1000,>2,no,self-employed,600
21900,>1000,>2,no,self-employed,600
21931,>1000,0,yes,self-employed,600
22173,>1000,>2,no,self-employed,600
22252,>1000,>2,no,self-employed,600
22270,>1000,>2,no,self-employed,600
22284,>1000,0,yes,self-employed,600
22385,>1000,>2,no,self-employed,600
22449,>1000,>2,no,self-employed,600
22569,>1000,0,yes,self-employed,600
22600,>1000,>2,no,self-employed,600
22638,>1000,0,yes,self-employed,600
22786,>1000,0,yes,self-employed,600
22988,>1000,>2,no,self-employed,600
23023,>1000,>2,no,self-employed,600
23130,>1000,0,yes,self-employed,600
23369,>1000,0,yes,self-employed,600
23411,>1000,>2,no,self-employed,600
23448,>1000,>2,no,self-employed,600
23488,>1000,>2,no,self-employed,600
23491,>1000,>2,no,self-employed,600
23548,>1000,0,yes,self-employed,600
23591,>1000,>2,no,self-employed,600
23682,>1000,>2,no,self-employed,600
23712,>1000,>2,no,self-employed,600
23720,>1000,>2,no,self-employed,600
23941,>1000,>2,no,self-employed,600
24387,>1000,>2,no,self-employed,600
24422,>1000,>2,no,self-employed,600
24448,>1000,0,yes,self-employed,600
24532,>1000,>2,no,self-employed,600
24614,>1000,>2,no,self-employed,600
24667,>1000,>2,no,self-employed,600
24706,>1000,>2,no,self-employed,600
24727,>1000,>2,no,self-employed,600
24788,>1000,>2,no,self-employed,600
24817,>1000,>2,no,self-employed,600
24958,>1000,>2,no,self-employed,600
24971,>1000,>2,no,self-employed,600
25020,>1000,>2,no,self-employed,600
25207,>1000,0,yes,self-employed,600
25309,>1000,>2,no,self-employed,600
25329,>1000,>2,no,self-employed,600
25360,>1000,>2,no,self-employed,600
25439,>1000,0,yes,self-employed,600
25920,>1000,>2,no,self-employed,600
25974,>1000,>2,no,self-employed,600
26044,>1000,0,yes,self-employed,600
26282,>1000,>2,no,self-employed,600
26376,>1000,>2,no,self-employed,600
26441,>1000,>2,no,self-employed,600
26637,>1000,>2,no,self-employed,600
26746,>1000,0,yes,self-employed,600
26853,>1000,>2,no,self-employed,600
26928,>1000,>2,no,self-employed,600
27236,>1000,>2,no,self-employed,600
27272,>1000,>2,no,self-employed,600
27304,>1000,0,yes,self-employed,600
27545,>1000,>2,no,self-employed,600
27562,>1000,>2,no,self-employed,600
27623,>1000,>2,no,self-employed,600
27655,>1000,0,yes,self-employed,600
27734,>1000,0,yes,self-employed,600
27759,>1000,>2,no,self-employed,600
27937,>1000,0,yes,self-employed,600
27969,>1000,>2,no,self-employed,600
28008,>1000,0,yes,self-employed,600
28160,>1000,0,yes,self-employed,600
28353,>1000,>2,no,self-employed,600
28386,>1000,>2,no,self-employed,600
28495,>1000,0,yes,self-employed,600
28734,>1000,0,yes,self-employed,600
28775,>1000,>2,no,self-employed,600
28809,>1000,>2,no,self-employed,600
28850,>1000,>2,no,self-employed,600
28851,>1000,>2,no,self-employed,600
28912,>1000,0,yes,self-employed,600
28955,>1000,>2,no,self-employed,600
29053,>1000,>2,no,self-employed,600
29082,>1000,>2,no,self-employed,600
29091,>1000,>2,no,self-employed,600
29310,>1000,>2,no,self-employed,600
231629,<1000,1-2,no,employee,600
227344,<1000,1-2,no,employee,600
228633,>1000,1-2,no,employee,600
241466,>1000,1-2,no,employee,600
29752,>1000,>2,no,self-employed,600
29789,>1000,>2,no,self-employed,600
29813,>1000,0,yes,self-employed,600
29854,>1000,0,yes,self-employed,600
29909,>1000,>2,no,self-employed,600
29992,>1000,>2,no,self-employed,600
30056,>1000,>2,no,self-employed,600
30091,>1000,>2,no,self-employed,600
30114,>1000,>2,no,self-employed,600
30180,>1000,>2,no,self-employed,600
30210,>1000,>2,no,self-employed,600
30364,>1000,>2,no,self-employed,600
30412,>1000,>2,no,self-employed,600
30419,>1000,0,yes,self-employed,600
30612,>1000,0,yes,self-employed,600
30712,>1000,>2,no,self-employed,600
30731,>1000,>2,no,self-employed,600
30765,>1000,>2,no,self-employed,600
30846,>1000,0,yes,self-employed,600
31069,>1000,>2,no,self-employed,600
31329,>1000,>2,no,self-employed,600
31447,>1000,0,yes,self-employed,600
31687,>1000,>2,no,self-employed,600
31780,>1000,>2,no,self-employed,600
31845,>1000,>2,no,self-employed,600
32161,>1000,0,yes,self-employed,600
32263,>1000,>2,no,self-employed,600
32650,>1000,0,yes,self-employed,600
32652,>1000,>2,no,self-employed,600
32690,>1000,>2,no,self-employed,600
32722,>1000,0,yes,self-employed,600
32964,>1000,>2,no,self-employed,600
33044,>1000,>2,no,self-employed,600
33062,>1000,>2,no,self-employed,600
33075,>1000,0,yes,self-employed,600
33156,>1000,0,yes,self-employed,600
33178,>1000,>2,no,self-employed,600
33365,>1000,0,yes,self-employed,600
33397,>1000,>2,no,self-employed,600
33436,>1000,0,yes,self-employed,600
33584,>1000,0,yes,self-employed,600
33785,>1000,>2,no,self-employed,600
33819,>1000,>2,no,self-employed,600
33926,>1000,0,yes,self-employed,600
34163,>1000,0,yes,self-employed,600
34205,>1000,>2,no,self-employed,600
34241,>1000,>2,no,self-employed,600
34280,>1000,>2,no,self-employed,600
34281,>1000,>2,no,self-employed,600
34285,>1000,>2,no,self-employed,600
34381,>1000,>2,no,self-employed,600
34477,>1000,>2,no,self-employed,600
34504,>1000,>2,no,self-employed,600
34513,>1000,>2,no,self-employed,600
35176,>1000,>2,no,self-employed,600
35236,>1000,0,yes,self-employed,600
35281,>1000,0,yes,self-employed,600
35335,>1000,>2,no,self-employed,600
35425,>1000,>2,no,self-employed,600
35482,>1000,>2,no,self-employed,600
35515,>1000,>2,no,self-employed,600
35539,>1000,>2,no,self-employed,600
35606,>1000,>2,no,self-employed,600
35635,>1000,>2,no,self-employed,600
35772,>1000,>2,no,self-employed,600
35783,>1000,>2,no,self-employed,600
35832,>1000,0,yes,self-employed,600
36023,>1000,0,yes,self-employed,600
36126,>1000,>2,no,self-employed,600
36147,>1000,>2,no,self-employed,600
36178,>1000,>2,no,self-employed,600
36256,>1000,0,yes,self-employed,600
36781,>1000,>2,no,self-employed,600
36849,>1000,0,yes,self-employed,600
37090,>1000,>2,no,self-employed,600
37183,>1000,>2,no,self-employed,600
37249,>1000,>2,no,self-employed,600
37446,>1000,>2,no,self-employed,600
37659,>1000,>2,no,self-employed,600
37735,>1000,>2,no,self-employed,600
38042,>1000,0,yes,self-employed,600
38044,>1000,>2,no,self-employed,600
38082,>1000,>2,no,self-employed,600
38115,>1000,0,yes,self-employed,600
38356,>1000,>2,no,self-employed,600
38372,>1000,>2,no,self-employed,600
38433,>1000,>2,no,self-employed,600
38451,>1000,>2,no,self-employed,600
38463,>1000,0,yes,self-employed,600
38543,>1000,0,yes,self-employed,600
38568,>1000,>2,no,self-employed,600
38634,>1000,>2,no,self-employed,600
38746,>1000,0,yes,self-employed,600
38780,>1000,>2,no,self-employed,600
38820,>1000,0,yes,self-employed,600
38979,>1000,0,yes,self-employed,600
39174,>1000,>2,no,self-employed,600
39319,>1000,0,yes,self-employed,600
39551,>1000,0,yes,self-employed,600
39624,>1000,>2,no,self-employed,600
39664,>1000,>2,no,self-employed,600
39665,>1000,>2,no,self-employed,600
39669,>1000,>2,no,self-employed,600
39724,>1000,0,yes,self-employed,600
39764,>1000,>2,no,self-employed,600
39892,>1000,>2,no,self-employed,600
39899,>1000,>2,no,self-employed,600
40125,>1000,>2,no,self-employed,600
40578,>1000,>2,no,self-employed,600
40614,>1000,>2,no,self-employed,600
40638,>1000,0,yes,self-employed,600
40680,>1000,0,yes,self-employed,600
40730,>1000,>2,no,self-employed,600
40812,>1000,>2,no,self-employed,600
40872,>1000,>2,no,self-employed,600
40907,>1000,>2,no,self-employed,600
40929,>1000,>2,no,self-employed,600
40994,>1000,>2,no,self-employed,600
41024,>1000,>2,no,self-employed,600
41181,>1000,>2,no,self-employed,600
41230,>1000,>2,no,self-employed,600
41236,>1000,0,yes,self-employed,600
41424,>1000,0,yes,self-employed,600
41530,>1000,>2,no,self-employed,600
41662,>1000,0,yes,self-employed,600
41884,>1000,>2,no,self-employed,600
42140,>1000,>2,no,self-employed,600
42253,>1000,0,yes,self-employed,600
42496,>1000,>2,no,self-employed,600
42592,>1000,>2,no,self-employed,600
42858,>1000,>2,no,self-employed,600
42976,>1000,0,yes,self-employed,600
43077,>1000,>2,no,self-employed,600
43155,>1000,>2,no,self-employed,600
43467,>1000,0,yes,self-employed,600
43534,>1000,0,yes,self-employed,600
43775,>1000,>2,no,self-employed,600
43792,>1000,>2,no,self-employed,600
43868,>1000,>2,no,self-employed,600
43883,>1000,0,yes,self-employed,600
43964,>1000,0,yes,self-employed,600
43989,>1000,>2,no,self-employed,600
44054,>1000,>2,no,self-employed,600
44202,>1000,>2,no,self-employed,600
44240,>1000,0,yes,self-employed,600
44392,>1000,0,yes,self-employed,600
44578,>1000,>2,no,self-employed,600
44608,>1000,>2,no,self-employed,600
44715,>1000,0,yes,self-employed,600
44953,>1000,0,yes,self-employed,600
44997,>1000,>2,no,self-employed,600
45029,>1000,>2,no,self-employed,600
45070,>1000,>2,no,self-employed,600
45071,>1000,>2,no,self-employed,600
45075,>1000,>2,no,self-employed,600
45130,>1000,0,yes,self-employed,600
45275,>1000,>2,no,self-employed,600
45302,>1000,>2,no,self-employed,600
45310,>1000,>2,no,self-employed,600
45533,>1000,>2,no,self-employed,600
45989,>1000,>2,no,self-employed,600
46025,>1000,>2,no,self-employed,600
46052,>1000,0,yes,self-employed,600
46092,>1000,0,yes,self-employed,600
46142,>1000,>2,no,self-employed,600
46225,>1000,>2,no,self-employed,600
46286,>1000,>2,no,self-employed,600
46322,>1000,>2,no,self-employed,600
46345,>1000,>2,no,self-employed,600
46411,>1000,>2,no,self-employed,600
46577,>1000,>2,no,self-employed,600
46590,>1000,>2,no,self-employed,600
46637,>1000,>2,no,self-employed,600
46832,>1000,0,yes,self-employed,600
46953,>1000,>2,no,self-employed,600
47066,>1000,0,yes,self-employed,600
47285,>1000,>2,no,self-employed,600
47542,>1000,>2,no,self-employed,600
47594,>1000,>2,no,self-employed,600
47660,>1000,0,yes,self-employed,600
47980,>1000,>2,no,self-employed,600
48046,>1000,>2,no,self-employed,600
48248,>1000,>2,no,self-employed,600
48461,>1000,>2,no,self-employed,600
48538,>1000,>2,no,self-employed,600
48840,>1000,0,yes,self-employed,600
48877,>1000,>2,no,self-employed,600
48912,>1000,0,yes,self-employed,600
49157,>1000,>2,no,self-employed,600
49174,>1000,>2,no,self-employed,600
49238,>1000,>2,no,self-employed,600
49257,>1000,>2,no,self-employed,600
49272,>1000,0,yes,self-employed,600
49359,>1000,0,yes,self-employed,600
49385,>1000,>2,no,self-employed,600
49449,>1000,>2,no,self-employed,600
49566,>1000,0,yes,self-employed,600
49598,>1000,>2,no,self-employed,600
49639,>1000,0,yes,self-employed,600
49791,>1000,0,yes,self-employed,600
49986,>1000,>2,no,self-employed,600
50017,>1000,>2,no,self-employed,600
50135,>1000,0,yes,self-employed,600
50375,>1000,0,yes,self-employed,600
50415,>1000,>2,no,self-employed,600
50450,>1000,>2,no,self-employed,600
50493,>1000,>2,no,self-employed,600
50496,>1000,>2,no,self-employed,600
50554,>1000,0,yes,self-employed,600
50597,>1000,>2,no,self-employed,600
50699,>1000,>2,no,self-employed,600
50728,>1000,>2,no,self-employed,600
50957,>1000,>2,no,self-employed,600
51404,>1000,>2,no,self-employed,600
51437,>1000,>2,no,self-employed,600
51462,>1000,0,yes,self-employed,600
51502,>1000,0,yes,self-employed,600
51557,>1000,>2,no,self-employed,600
51699,>1000,>2,no,self-employed,600
51736,>1000,>2,no,self-employed,600
51849,>1000,>2,no,self-employed,600
51993,>1000,>2,no,self-employed,600
52005,>1000,>2,no,self-employed,600
52052,>1000,>2,no,self-employed,600
52059,>1000,0,yes,self-employed,600
52245,>1000,0,yes,self-employed,600
52350,>1000,>2,no,self-employed,600
52369,>1000,>2,no,self-employed,600
52398,>1000,>2,no,self-employed,600
52480,>1000,0,yes,self-employed,600
52695,>1000,>2,no,self-employed,600
52951,>1000,>2,no,self-employed,600
53005,>1000,>2,no,self-employed,600
53067,>1000,0,yes,self-employed,600
53300,>1000,>2,no,self-employed,600
53399,>1000,>2,no,self-employed,600
53464,>1000,>2,no,self-employed,600
53666,>1000,>2,no,self-employed,600
53778,>1000,0,yes,self-employed,600
53881,>1000,>2,no,self-employed,600
53955,>1000,>2,no,self-employed,600
54267,>1000,0,yes,self-employed,600
54269,>1000,>2,no,self-employed,600
54304,>1000,>2,no,self-employed,600
54336,>1000,0,yes,self-employed,600
54575,>1000,>2,no,self-employed,600
54592,>1000,>2,no,self-employed,600
54654,>1000,>2,no,self-employed,600
54674,>1000,>2,no,self-employed,600
54687,>1000,0,yes,self-employed,600
54773,>1000,0,yes,self-employed,600
54800,>1000,>2,no,self-employed,600
54868,>1000,>2,no,self-employed,600
54985,>1000,0,yes,self-employed,600
55018,>1000,>2,no,self-employed,600
55059,>1000,0,yes,self-employed,600
55212,>1000,0,yes,self-employed,600
55412,>1000,>2,no,self-employed,600
55443,>1000,>2,no,self-employed,600
55556,>1000,0,yes,self-employed,600
55801,>1000,0,yes,self-employed,600
55842,>1000,>2,no,self-employed,600
55879,>1000,>2,no,self-employed,600
55921,>1000,>2,no,self-employed,600
55922,>1000,>2,no,self-employed,600
55925,>1000,>2,no,self-employed,600
55981,>1000,0,yes,self-employed,600
56026,>1000,>2,no,self-employed,600
56126,>1000,>2,no,self-employed,600
56157,>1000,>2,no,self-employed,600
56164,>1000,>2,no,self-employed,600
56387,>1000,>2,no,self-employed,600
56862,>1000,>2,no,self-employed,600
56889,>1000,0,yes,self-employed,600
56932,>1000,0,yes,self-employed,600
56981,>1000,>2,no,self-employed,600
57065,>1000,>2,no,self-employed,600
57120,>1000,>2,no,self-employed,600
57152,>1000,>2,no,self-employed,600
57175,>1000,>2,no,self-employed,600
57236,>1000,>2,no,self-employed,600
57264,>1000,>2,no,self-employed,600
57403,>1000,>2,no,self-employed,600
57414,>1000,>2,no,self-employed,600
57656,>1000,0,yes,self-employed,600
57759,>1000,>2,no,self-employed,600
57776,>1000,>2,no,self-employed,600
57806,>1000,>2,no,self-employed,600
57888,>1000,0,yes,self-employed,600
58111,>1000,>2,no,self-employed,600
58418,>1000,>2,no,self-employed,600
58482,>1000,0,yes,self-employed,600
58721,>1000,>2,no,self-employed,600
58815,>1000,>2,no,self-employed,600
58876,>1000,>2,no,self-employed,600
59191,>1000,0,yes,self-employed,600
59296,>1000,>2,no,self-employed,600
59370,>1000,>2,no,self-employed,600
59675,>1000,0,yes,self-employed,600
59677,>1000,>2,no,self-employed,600
59713,>1000,>2,no,self-employed,600
59747,>1000,0,yes,self-employed,600
59985,>1000,>2,no,self-employed,600
60001,>1000,>2,no,self-employed,600
60061,>1000,>2,no,self-employed,600
60080,>1000,>2,no,self-employed,600
60093,>1000,0,yes,self-employed,600
60173,>1000,0,yes,self-employed,600
60200,>1000,>2,no,self-employed,600
60269,>1000,>2,no,self-employed,600
60383,>1000,0,yes,self-employed,600
60415,>1000,>2,no,self-employed,600
60456,>1000,0,yes,self-employed,600
60607,>1000,0,yes,self-employed,600
60800,>1000,>2,no,self-employed,600
60835,>1000,>2,no,self-employed,600
60946,>1000,0,yes,self-employed,600
61183,>1000,0,yes,self-employed,600
61225,>1000,>2,no,self-employed,600
61260,>1000,>2,no,self-employed,600
61302,>1000,>2,no,self-employed,600
61303,>1000,>2,no,self-employed,600
61306,>1000,>2,no,self-employed,600
61366,>1000,0,yes,self-employed,600
61410,>1000,>2,no,self-employed,600
61507,>1000,>2,no,self-employed,600
61538,>1000,>2,no,self-employed,600
61545,>1000,>2,no,self-employed,600
61766,>1000,>2,no,self-employed,600
62249,>1000,>2,no,self-employed,600
62276,>1000,0,yes,self-employed,600
62321,>1000,0,yes,self-employed,600
62374,>1000,>2,no,self-employed,600
